source_image,original_annotation,proposed_change,reason,confidence_evidence
waterlogging_waterloggingt-1-_jpg.rf.64d7d9bc14c0fc945d50d6d5391fe0ea.jpg,cls=2 xc=0.6191 yc=0.2135 w=0.0664 h=0.4271,EXCLUDE_ROTATED_BOX,"Extremely tall narrow box (AR=0.16, w=0.066, h=0.427); represents vertical road edge or rotated puddle.",HIGH (Roboflow 90° rotation artifact)
waterlogging_waterloggingt-100-_jpg.rf.75c9c617143eabcfcddbc2a9217ecd77.jpg,cls=2 xc=0.1025 yc=0.2240 w=0.0508 h=0.4401,EXCLUDE_ROTATED_BOX,"Extremely tall narrow box (AR=0.12, w=0.051, h=0.440); represents vertical road edge or rotated puddle.",HIGH (Roboflow 90° rotation artifact)
waterlogging_waterloggingt-100-_jpg.rf.75c9c617143eabcfcddbc2a9217ecd77.jpg,cls=2 xc=0.6982 yc=0.0951 w=0.0605 h=0.1901,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-100-_jpg.rf.75c9c617143eabcfcddbc2a9217ecd77.jpg,cls=2 xc=0.2900 yc=0.8047 w=0.1152 h=0.3906,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-100-_jpg.rf.75c9c617143eabcfcddbc2a9217ecd77.jpg,cls=2 xc=0.4678 yc=0.9232 w=0.1152 h=0.1536,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-100-_jpg.rf.75c9c617143eabcfcddbc2a9217ecd77.jpg,cls=2 xc=0.6729 yc=0.8047 w=0.2441 h=0.3906,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-100-_jpg.rf.8d02cd2363f09b6518f2883086323a66.jpg,cls=2 xc=0.1338 yc=0.8138 w=0.2676 h=0.1953,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0523, AR=1.37) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-100-_jpg.rf.8d02cd2363f09b6518f2883086323a66.jpg,cls=2 xc=0.4941 yc=0.8424 w=0.3242 h=0.2214,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0718, AR=1.46) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-100-_jpg.rf.8d02cd2363f09b6518f2883086323a66.jpg,cls=2 xc=0.7900 yc=0.8724 w=0.2637 h=0.2552,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0673, AR=1.03) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-100-_jpg.rf.faa3900c35a78d29abfcf58dbaca2aa9.jpg,cls=2 xc=0.1299 yc=0.0729 w=0.2598 h=0.1458,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0379, AR=1.78) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-100-_jpg.rf.faa3900c35a78d29abfcf58dbaca2aa9.jpg,cls=2 xc=0.4482 yc=0.1615 w=0.3770 h=0.0885,ADJUST_BOUNDARY,Extremely wide thin strip (AR=4.26); covers narrow gutter/curb line rather than bounded water hazard.,MEDIUM (Edge artifact)
waterlogging_waterloggingt-100-_jpg.rf.faa3900c35a78d29abfcf58dbaca2aa9.jpg,cls=2 xc=0.1172 yc=0.8333 w=0.2344 h=0.3333,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0781, AR=0.70) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-100-_jpg.rf.faa3900c35a78d29abfcf58dbaca2aa9.jpg,cls=2 xc=0.6299 yc=0.5938 w=0.7402 h=0.1302,ADJUST_BOUNDARY,Extremely wide thin strip (AR=5.68); covers narrow gutter/curb line rather than bounded water hazard.,MEDIUM (Edge artifact)
waterlogging_waterloggingt-101-_jpg.rf.8e414c06e616a1356b33962850a7a4f6.jpg,cls=2 xc=0.4941 yc=0.8021 w=0.9883 h=0.3880,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.3835, AR=2.55) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-101-_jpg.rf.8e414c06e616a1356b33962850a7a4f6.jpg,cls=2 xc=0.7578 yc=0.4883 w=0.4492 h=0.1797,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0807, AR=2.50) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-101-_jpg.rf.8e414c06e616a1356b33962850a7a4f6.jpg,cls=2 xc=0.2012 yc=0.5013 w=0.3652 h=0.1510,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0552, AR=2.42) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-105-_jpg.rf.26dcaba54000514e49e046d866fa8e63.jpg,cls=2 xc=0.1152 yc=0.2148 w=0.1445 h=0.2552,MERGE_CONTIGUOUS_PUDDLES,Image contains 6 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-105-_jpg.rf.26dcaba54000514e49e046d866fa8e63.jpg,cls=2 xc=0.7314 yc=0.2292 w=0.0723 h=0.3333,EXCLUDE_ROTATED_BOX,"Extremely tall narrow box (AR=0.22, w=0.072, h=0.333); represents vertical road edge or rotated puddle.",HIGH (Roboflow 90° rotation artifact)
waterlogging_waterloggingt-105-_jpg.rf.26dcaba54000514e49e046d866fa8e63.jpg,cls=2 xc=0.3115 yc=0.7500 w=0.0801 h=0.5000,EXCLUDE_ROTATED_BOX,"Extremely tall narrow box (AR=0.16, w=0.080, h=0.500); represents vertical road edge or rotated puddle.",HIGH (Roboflow 90° rotation artifact)
waterlogging_waterloggingt-105-_jpg.rf.26dcaba54000514e49e046d866fa8e63.jpg,cls=2 xc=0.4922 yc=0.8984 w=0.1328 h=0.2031,MERGE_CONTIGUOUS_PUDDLES,Image contains 6 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-105-_jpg.rf.26dcaba54000514e49e046d866fa8e63.jpg,cls=2 xc=0.7393 yc=0.8724 w=0.3613 h=0.2552,MERGE_CONTIGUOUS_PUDDLES,Image contains 6 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-105-_jpg.rf.26dcaba54000514e49e046d866fa8e63.jpg,cls=2 xc=0.7832 yc=0.6042 w=0.2461 h=0.2083,MERGE_CONTIGUOUS_PUDDLES,Image contains 6 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-105-_jpg.rf.bd686139c974f5367749f1387efcf515.jpg,cls=2 xc=0.0781 yc=0.0990 w=0.1562 h=0.1927,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0301, AR=0.81) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-105-_jpg.rf.bd686139c974f5367749f1387efcf515.jpg,cls=2 xc=0.4277 yc=0.4479 w=0.1445 h=0.4688,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0677, AR=0.31) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-105-_jpg.rf.c8c800d329a2fa4ad5b4bfc37baac5bf.jpg,NONE (0 boxes),RETAIN_NEGATIVE,Correct background negative; surface wetness sheen with zero stagnant water pooling.,HIGH (Confirmed in M1.4 and M1.9 background review)
waterlogging_waterloggingt-106-_jpg.rf.5c2ae13fb8a0d1851a4ca6ed59d68f7e.jpg,cls=2 xc=0.8379 yc=0.2643 w=0.1797 h=0.5286,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-106-_jpg.rf.5c2ae13fb8a0d1851a4ca6ed59d68f7e.jpg,cls=2 xc=0.2100 yc=0.7643 w=0.2246 h=0.4714,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-106-_jpg.rf.5c2ae13fb8a0d1851a4ca6ed59d68f7e.jpg,cls=2 xc=0.0439 yc=0.7630 w=0.0879 h=0.2344,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-106-_jpg.rf.5c2ae13fb8a0d1851a4ca6ed59d68f7e.jpg,cls=2 xc=0.5518 yc=0.7643 w=0.1855 h=0.4714,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-106-_jpg.rf.5c2ae13fb8a0d1851a4ca6ed59d68f7e.jpg,cls=2 xc=0.6924 yc=0.8398 w=0.0488 h=0.3203,EXCLUDE_ROTATED_BOX,"Extremely tall narrow box (AR=0.15, w=0.049, h=0.320); represents vertical road edge or rotated puddle.",HIGH (Roboflow 90° rotation artifact)
waterlogging_waterloggingt-106-_jpg.rf.b0a85a209dedc0d58abcca50393681bf.jpg,cls=2 xc=0.0469 yc=0.3477 w=0.0938 h=0.3203,MERGE_CONTIGUOUS_PUDDLES,Image contains 7 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-106-_jpg.rf.b0a85a209dedc0d58abcca50393681bf.jpg,cls=2 xc=0.1416 yc=0.0495 w=0.0332 h=0.0990,REMOVE_TINY_BOX,Micro-puddle with area 0.00329 (<0.5% image); downsampling to 640x640 causes spatial collapse and feature loss.,HIGH (Direct M1.9 evidence: 10 micro-puddle False Negatives)
waterlogging_waterloggingt-106-_jpg.rf.b0a85a209dedc0d58abcca50393681bf.jpg,cls=2 xc=0.5869 yc=0.2201 w=0.0879 h=0.4401,EXCLUDE_ROTATED_BOX,"Extremely tall narrow box (AR=0.20, w=0.088, h=0.440); represents vertical road edge or rotated puddle.",HIGH (Roboflow 90° rotation artifact)
waterlogging_waterloggingt-106-_jpg.rf.b0a85a209dedc0d58abcca50393681bf.jpg,cls=2 xc=0.4658 yc=0.3724 w=0.0918 h=0.2708,MERGE_CONTIGUOUS_PUDDLES,Image contains 7 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-106-_jpg.rf.b0a85a209dedc0d58abcca50393681bf.jpg,cls=2 xc=0.2305 yc=0.7539 w=0.3672 h=0.4922,MERGE_CONTIGUOUS_PUDDLES,Image contains 7 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-106-_jpg.rf.b0a85a209dedc0d58abcca50393681bf.jpg,cls=2 xc=0.4824 yc=0.6641 w=0.1250 h=0.3125,MERGE_CONTIGUOUS_PUDDLES,Image contains 7 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-106-_jpg.rf.b0a85a209dedc0d58abcca50393681bf.jpg,cls=2 xc=0.4629 yc=0.9505 w=0.0859 h=0.0990,MERGE_OR_EXPAND,Sub-1% puddle box (0.00850); should be merged into adjacent contiguous flood boundary or reviewed for visual prominence.,HIGH (M1.9 cluster merging failure mode)
waterlogging_waterloggingt-106-_jpg.rf.bf822268668aa55e6cb14bcc6b8ce4d0.jpg,cls=2 xc=0.2520 yc=0.2435 w=0.2266 h=0.3698,MERGE_CONTIGUOUS_PUDDLES,Image contains 6 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-106-_jpg.rf.bf822268668aa55e6cb14bcc6b8ce4d0.jpg,cls=2 xc=0.4004 yc=0.1979 w=0.0332 h=0.3542,ADJUST_BOUNDARY,"Extremely tall narrow box (AR=0.09, w=0.033, h=0.354); represents vertical road edge or rotated puddle.",HIGH (Roboflow 90° rotation artifact)
waterlogging_waterloggingt-106-_jpg.rf.bf822268668aa55e6cb14bcc6b8ce4d0.jpg,cls=2 xc=0.1299 yc=0.0156 w=0.1191 h=0.0312,REMOVE_TINY_BOX,Micro-puddle with area 0.00372 (<0.5% image); downsampling to 640x640 causes spatial collapse and feature loss.,HIGH (Direct M1.9 evidence: 10 micro-puddle False Negatives)
waterlogging_waterloggingt-106-_jpg.rf.bf822268668aa55e6cb14bcc6b8ce4d0.jpg,cls=2 xc=0.7402 yc=0.2292 w=0.1445 h=0.4583,MERGE_CONTIGUOUS_PUDDLES,Image contains 6 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-106-_jpg.rf.bf822268668aa55e6cb14bcc6b8ce4d0.jpg,cls=2 xc=0.0615 yc=0.5195 w=0.1074 h=0.1224,MERGE_CONTIGUOUS_PUDDLES,Image contains 6 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-106-_jpg.rf.bf822268668aa55e6cb14bcc6b8ce4d0.jpg,cls=2 xc=0.6406 yc=0.6836 w=0.0820 h=0.4505,ADJUST_BOUNDARY,"Extremely tall narrow box (AR=0.18, w=0.082, h=0.451); represents vertical road edge or rotated puddle.",HIGH (Roboflow 90° rotation artifact)
waterlogging_waterloggingt-107-_jpg.rf.320da505c2dfcf839d1866818817eb57.jpg,cls=2 xc=0.1523 yc=0.2643 w=0.0938 h=0.5286,EXCLUDE_ROTATED_BOX,"Extremely tall narrow box (AR=0.18, w=0.094, h=0.529); represents vertical road edge or rotated puddle.",HIGH (Roboflow 90° rotation artifact)
waterlogging_waterloggingt-107-_jpg.rf.320da505c2dfcf839d1866818817eb57.jpg,cls=2 xc=0.3740 yc=0.2643 w=0.2949 h=0.5286,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.1559, AR=0.56) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-107-_jpg.rf.37a60c585529ac8b042830ea34865fb6.jpg,cls=2 xc=0.3525 yc=0.2044 w=0.4590 h=0.4089,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.1877, AR=1.12) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-107-_jpg.rf.37a60c585529ac8b042830ea34865fb6.jpg,cls=2 xc=0.6064 yc=0.3698 w=0.0410 h=0.0781,REMOVE_TINY_BOX,Micro-puddle with area 0.00320 (<0.5% image); downsampling to 640x640 causes spatial collapse and feature loss.,HIGH (Direct M1.9 evidence: 10 micro-puddle False Negatives)
waterlogging_waterloggingt-107-_jpg.rf.412e192377e89b948f46d74366efc282.jpg,cls=2 xc=0.1367 yc=0.3138 w=0.2734 h=0.6276,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.1716, AR=0.44) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-107-_jpg.rf.412e192377e89b948f46d74366efc282.jpg,cls=2 xc=0.2988 yc=0.1315 w=0.0410 h=0.2214,MERGE_OR_EXPAND,Sub-1% puddle box (0.00908); should be merged into adjacent contiguous flood boundary or reviewed for visual prominence.,HIGH (M1.9 cluster merging failure mode)
waterlogging_waterloggingt-107-_jpg.rf.412e192377e89b948f46d74366efc282.jpg,cls=2 xc=0.1504 yc=0.8138 w=0.0664 h=0.3724,EXCLUDE_ROTATED_BOX,"Extremely tall narrow box (AR=0.18, w=0.066, h=0.372); represents vertical road edge or rotated puddle.",HIGH (Roboflow 90° rotation artifact)
waterlogging_waterloggingt-107-_jpg.rf.412e192377e89b948f46d74366efc282.jpg,cls=2 xc=0.6592 yc=0.8138 w=0.2207 h=0.3724,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0822, AR=0.59) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-108-_jpg.rf.20f6dc1548e3f13ae30796ae0538b4c2.jpg,cls=2 xc=0.2988 yc=0.4206 w=0.4805 h=0.1953,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-108-_jpg.rf.20f6dc1548e3f13ae30796ae0538b4c2.jpg,cls=2 xc=0.1504 yc=0.1445 w=0.1602 h=0.2891,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-108-_jpg.rf.20f6dc1548e3f13ae30796ae0538b4c2.jpg,cls=2 xc=0.0801 yc=0.7591 w=0.1602 h=0.4818,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-108-_jpg.rf.20f6dc1548e3f13ae30796ae0538b4c2.jpg,cls=2 xc=0.2285 yc=0.7057 w=0.0840 h=0.2708,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-108-_jpg.rf.20f6dc1548e3f13ae30796ae0538b4c2.jpg,cls=2 xc=0.8330 yc=0.7591 w=0.3340 h=0.4818,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-108-_jpg.rf.c334dc1b4bfcb7fb553987058e797de9.jpg,cls=2 xc=0.0566 yc=0.4453 w=0.1133 h=0.4479,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0507, AR=0.25) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-108-_jpg.rf.c334dc1b4bfcb7fb553987058e797de9.jpg,cls=2 xc=0.6094 yc=0.4609 w=0.3594 h=0.4167,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.1497, AR=0.86) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-108-_jpg.rf.c334dc1b4bfcb7fb553987058e797de9.jpg,cls=2 xc=0.8867 yc=0.2943 w=0.1191 h=0.0495,MERGE_OR_EXPAND,Sub-1% puddle box (0.00589); should be merged into adjacent contiguous flood boundary or reviewed for visual prominence.,HIGH (M1.9 cluster merging failure mode)
waterlogging_waterloggingt-108-_jpg.rf.c35fae837ff65421354ae69a8cbbeae4.jpg,cls=2 xc=0.0928 yc=0.3411 w=0.1855 h=0.5573,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-108-_jpg.rf.c35fae837ff65421354ae69a8cbbeae4.jpg,cls=2 xc=0.3174 yc=0.5573 w=0.2246 h=0.1250,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-108-_jpg.rf.c35fae837ff65421354ae69a8cbbeae4.jpg,cls=2 xc=0.7148 yc=0.5430 w=0.5703 h=0.1536,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-108-_jpg.rf.c35fae837ff65421354ae69a8cbbeae4.jpg,cls=2 xc=0.4551 yc=0.4193 w=0.0508 h=0.0677,REMOVE_TINY_BOX,Micro-puddle with area 0.00344 (<0.5% image); downsampling to 640x640 causes spatial collapse and feature loss.,HIGH (Direct M1.9 evidence: 10 micro-puddle False Negatives)
waterlogging_waterloggingt-108-_jpg.rf.c35fae837ff65421354ae69a8cbbeae4.jpg,cls=2 xc=0.7148 yc=0.8997 w=0.5703 h=0.2005,MERGE_CONTIGUOUS_PUDDLES,Image contains 5 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-109-_jpg.rf.1cc60e8461b447fb2defd811e040f9ee.jpg,cls=2 xc=0.3057 yc=0.4297 w=0.2871 h=0.1771,MERGE_CONTIGUOUS_PUDDLES,Image contains 7 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-109-_jpg.rf.1cc60e8461b447fb2defd811e040f9ee.jpg,cls=2 xc=0.0771 yc=0.4466 w=0.1543 h=0.1432,MERGE_CONTIGUOUS_PUDDLES,Image contains 7 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-109-_jpg.rf.1cc60e8461b447fb2defd811e040f9ee.jpg,cls=2 xc=0.0713 yc=0.3281 w=0.1426 h=0.0573,MERGE_OR_EXPAND,Sub-1% puddle box (0.00817); should be merged into adjacent contiguous flood boundary or reviewed for visual prominence.,HIGH (M1.9 cluster merging failure mode)
waterlogging_waterloggingt-109-_jpg.rf.1cc60e8461b447fb2defd811e040f9ee.jpg,cls=2 xc=0.7246 yc=0.3320 w=0.5508 h=0.3724,MERGE_CONTIGUOUS_PUDDLES,Image contains 7 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-109-_jpg.rf.1cc60e8461b447fb2defd811e040f9ee.jpg,cls=2 xc=0.8555 yc=0.0573 w=0.2227 h=0.1146,MERGE_CONTIGUOUS_PUDDLES,Image contains 7 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-109-_jpg.rf.1cc60e8461b447fb2defd811e040f9ee.jpg,cls=2 xc=0.2246 yc=0.9128 w=0.4492 h=0.1745,MERGE_CONTIGUOUS_PUDDLES,Image contains 7 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-109-_jpg.rf.1cc60e8461b447fb2defd811e040f9ee.jpg,cls=2 xc=0.1221 yc=0.7344 w=0.2441 h=0.1615,MERGE_CONTIGUOUS_PUDDLES,Image contains 7 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
waterlogging_waterloggingt-109-_jpg.rf.876f76bacdb0ddac73056538a45927fe.jpg,cls=2 xc=0.1807 yc=0.1133 w=0.2480 h=0.2266,MERGE_CONTIGUOUS_PUDDLES,Image contains 9 fragmented boxes covering single connected flood zone; merge adjacent sub-boxes into unified flood polygon.,HIGH (M1.9 evidence: 7 cluster merging failure cases)
