filename,scene_group,split,is_replacement,box_count,mean_aspect_ratio,orientation,action,reason
waterlogging_waterloggingt-106-_jpg.rf.5c2ae13fb8a0d1851a4ca6ed59d68f7e.jpg,waterloggingt-106-_jpg,train,False,5,0.348,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (5 tall vertical boxes, mean AR 0.35); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-106-_jpg.rf.b0a85a209dedc0d58abcca50393681bf.jpg,waterloggingt-106-_jpg,train,False,7,0.454,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (5 tall vertical boxes, mean AR 0.45); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-106-_jpg.rf.bf822268668aa55e6cb14bcc6b8ce4d0.jpg,waterloggingt-106-_jpg,train,False,6,0.982,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.98, 3 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-107-_jpg.rf.320da505c2dfcf839d1866818817eb57.jpg,waterloggingt-107-_jpg,train,False,2,0.368,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (2 tall vertical boxes, mean AR 0.37); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-107-_jpg.rf.37a60c585529ac8b042830ea34865fb6.jpg,waterloggingt-107-_jpg,train,False,2,0.824,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.82, 1 tall vs 0 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-107-_jpg.rf.412e192377e89b948f46d74366efc282.jpg,waterloggingt-107-_jpg,train,False,4,0.348,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (4 tall vertical boxes, mean AR 0.35); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-108-_jpg.rf.20f6dc1548e3f13ae30796ae0538b4c2.jpg,waterloggingt-108-_jpg,train,False,5,0.87,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.87, 3 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-108-_jpg.rf.c334dc1b4bfcb7fb553987058e797de9.jpg,waterloggingt-108-_jpg,train,False,3,1.174,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.17, 1 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-108-_jpg.rf.c35fae837ff65421354ae69a8cbbeae4.jpg,waterloggingt-108-_jpg,train,False,5,1.887,Natural (0°),KEEP,"Upright natural orientation (3 wide boxes, mean AR 1.89); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-109-_jpg.rf.1cc60e8461b447fb2defd811e040f9ee.jpg,waterloggingt-109-_jpg,train,False,7,1.814,Natural (0°),KEEP,"Upright natural orientation (4 wide boxes, mean AR 1.81); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-109-_jpg.rf.876f76bacdb0ddac73056538a45927fe.jpg,waterloggingt-109-_jpg,train,False,9,0.667,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (5 tall vertical boxes, mean AR 0.67); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-109-_jpg.rf.9400d0c341b78c819762ea6046da5a65.jpg,waterloggingt-109-_jpg,train,False,4,0.377,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (3 tall vertical boxes, mean AR 0.38); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-11-_jpg.rf.533b8ff91c6c988c19951ff4ffc81bd1.jpg,waterloggingt-11-_jpg,train,False,4,0.456,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (3 tall vertical boxes, mean AR 0.46); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-11-_jpg.rf.c46d95b368505ce2e2b4d56d0fb6101f.jpg,waterloggingt-11-_jpg,train,False,4,1.013,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.01, 1 tall vs 0 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-11-_jpg.rf.d3926ae9649b48019ad0de93247b8776.jpg,waterloggingt-11-_jpg,train,False,5,1.413,Natural (0°),KEEP,"Upright natural orientation (2 wide boxes, mean AR 1.41); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-110-_jpg.rf.0f7e64b14fdaa4baf3a88da04e3c40aa.jpg,waterloggingt-110-_jpg,train,False,5,0.305,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (5 tall vertical boxes, mean AR 0.30); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-110-_jpg.rf.9f7656a251202ae6a3768d53bf484ac9.jpg,waterloggingt-110-_jpg,train,False,5,0.272,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (5 tall vertical boxes, mean AR 0.27); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-110-_jpg.rf.e64ab83a5986ee642135179a119dde32.jpg,waterloggingt-110-_jpg,train,False,10,1.698,Natural (0°),KEEP,"Upright natural orientation (4 wide boxes, mean AR 1.70); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-111-_jpg.rf.39c6acc8aa97e8c1519b71b16edacafe.jpg,waterloggingt-111-_jpg,train,False,6,0.378,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (5 tall vertical boxes, mean AR 0.38); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-111-_jpg.rf.9d3dc9cb176633e34e2503d89c7775e4.jpg,waterloggingt-111-_jpg,train,False,2,0.444,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (2 tall vertical boxes, mean AR 0.44); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-111-_jpg.rf.b6ad22e5cb9af635858d4d7a7cdcb431.jpg,waterloggingt-111-_jpg,train,False,4,0.412,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (4 tall vertical boxes, mean AR 0.41); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-112-_jpg.rf.1530c2b26c1be10129030bf6f918c592.jpg,waterloggingt-112-_jpg,train,False,6,0.605,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (4 tall vertical boxes, mean AR 0.60); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-112-_jpg.rf.28e7eeb3313fa0d9325ab62fe7c28378.jpg,waterloggingt-112-_jpg,train,False,5,0.556,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (3 tall vertical boxes, mean AR 0.56); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-112-_jpg.rf.43728c3f784660f141a1c0f0d453740e.jpg,waterloggingt-112-_jpg,train,False,5,0.894,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.89, 4 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-113-_jpg.rf.061b92e64768f9e0a9848a4682e9420b.jpg,waterloggingt-113-_jpg,train,False,7,0.787,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.79, 4 tall vs 2 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-113-_jpg.rf.084d6f23234cbf6314345867c4f698d7.jpg,waterloggingt-113-_jpg,train,False,8,1.724,Natural (0°),KEEP,"Upright natural orientation (4 wide boxes, mean AR 1.72); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-113-_jpg.rf.f2c4b9d7dad956dd35c29f8fb0501154.jpg,waterloggingt-113-_jpg,train,False,7,1.265,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.27, 1 tall vs 3 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-114-_jpg.rf.59969ea013a1a3687220d18eb0c84d06.jpg,waterloggingt-114-_jpg,train,False,4,3.235,Natural (0°),KEEP,"Upright natural orientation (3 wide boxes, mean AR 3.23); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-114-_jpg.rf.5eda7421696a9f024c32d928f3a39eab.jpg,waterloggingt-114-_jpg,train,False,2,0.481,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.48, 1 tall vs 0 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-114-_jpg.rf.a77c20c66646123b6ed8f2712dc711a2.jpg,waterloggingt-114-_jpg,train,False,6,3.097,Natural (0°),KEEP,"Upright natural orientation (3 wide boxes, mean AR 3.10); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-115-_jpg.rf.21dad62be0187d4a2286185efd45bd90.jpg,waterloggingt-115-_jpg,train,False,6,0.549,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (4 tall vertical boxes, mean AR 0.55); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-115-_jpg.rf.3210a5c3958dec55dc6a0ef050badd72.jpg,waterloggingt-115-_jpg,train,False,3,0.405,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (3 tall vertical boxes, mean AR 0.41); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-115-_jpg.rf.635c01c23fc97d12f874cf603283a994.jpg,waterloggingt-115-_jpg,train,False,3,1.078,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.08, 2 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-116-_jpg.rf.32551d1138be7e0c4bdb64925c0f44eb.jpg,waterloggingt-116-_jpg,train,False,5,0.948,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.95, 2 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-116-_jpg.rf.9bd10500ac27cc1bd5a73b306b5b500f.jpg,waterloggingt-116-_jpg,train,False,3,0.52,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (2 tall vertical boxes, mean AR 0.52); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-116-_jpg.rf.fac505288582c2b139d1d005b445b23f.jpg,waterloggingt-116-_jpg,train,False,5,0.709,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (2 tall vertical boxes, mean AR 0.71); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-12-_jpg.rf.0789ade816fc0a61a2747f56a4752f37.jpg,waterloggingt-12-_jpg,train,False,7,0.299,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (6 tall vertical boxes, mean AR 0.30); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-12-_jpg.rf.20f65b01928efa45d61cc5f969d78a7d.jpg,waterloggingt-12-_jpg,train,False,5,0.953,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.95, 3 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-12-_jpg.rf.c064ee6b5e0eeacf45920ff9dbe16e91.jpg,waterloggingt-12-_jpg,train,False,4,2.237,Natural (0°),KEEP,"Upright natural orientation (2 wide boxes, mean AR 2.24); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-121-_jpg.rf.148214b683fb45d57f49ca772181d434.jpg,waterloggingt-121-_jpg,train,False,2,0.579,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.58, 1 tall vs 0 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-121-_jpg.rf.71504412e4ffe90699727d8deaddf58e.jpg,waterloggingt-121-_jpg,train,False,6,3.856,Natural (0°),KEEP,"Upright natural orientation (5 wide boxes, mean AR 3.86); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-121-_jpg.rf.90aa6b801e7b610a5ecc58a3ffc6d4ad.jpg,waterloggingt-121-_jpg,train,False,6,0.5,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (4 tall vertical boxes, mean AR 0.50); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-123-_jpg.rf.caafec34b2c9f23b90ebaa43223ffb59.jpg,waterloggingt-123-_jpg,train,True,3,1.979,Natural (0°),KEEP,"Verified single-scene upright roadway capture; upright horizon, vehicles, and signage."
waterlogging_waterloggingt-124-_jpg.rf.db98b0141ebde1e782c5ae2ba94df6b7.jpg,waterloggingt-124-_jpg,train,True,1,1.221,Natural (0°),KEEP,"Verified single-scene upright roadway capture; upright horizon, vehicles, and signage."
waterlogging_waterloggingt-125-_jpg.rf.14bd6556d24e30e94d0e5dffeaeb7a37.jpg,waterloggingt-125-_jpg,train,False,5,0.479,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (3 tall vertical boxes, mean AR 0.48); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-125-_jpg.rf.558568c9421be9bcd2a50ac467f2cf92.jpg,waterloggingt-125-_jpg,train,False,5,1.074,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.07, 1 tall vs 0 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-125-_jpg.rf.b3012b4ca4862ee70cffd58bca6652d2.jpg,waterloggingt-125-_jpg,train,False,4,0.549,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (3 tall vertical boxes, mean AR 0.55); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-127-_jpg.rf.090d8ef8c8e692676e501a52c18bd473.jpg,waterloggingt-127-_jpg,train,False,7,0.449,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (5 tall vertical boxes, mean AR 0.45); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-127-_jpg.rf.0e8185f58b2e06d71649cff3a82df08c.jpg,waterloggingt-127-_jpg,train,False,2,0.571,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.57, 1 tall vs 0 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-127-_jpg.rf.5b6ee9589c8ebaa451f0d866f47c0e2a.jpg,waterloggingt-127-_jpg,train,False,2,2.126,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 2.13, 0 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-129-_jpg.rf.0f16f623499d48aba8c72b8ebd2ad14e.jpg,waterloggingt-129-_jpg,train,False,3,0.375,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (2 tall vertical boxes, mean AR 0.38); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-129-_jpg.rf.1cdb041261ac454e7418539144ff25fc.jpg,waterloggingt-129-_jpg,train,False,5,1.058,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.06, 3 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-129-_jpg.rf.ee7df173f24985f313e4e622cb363852.jpg,waterloggingt-129-_jpg,train,False,6,1.858,Natural (0°),KEEP,"Upright natural orientation (3 wide boxes, mean AR 1.86); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-13-_jpg.rf.5a5d0632ce434c77e61c160471ba9a81.jpg,waterloggingt-13-_jpg,train,False,4,0.373,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (3 tall vertical boxes, mean AR 0.37); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-13-_jpg.rf.7e8e5ba053c088ef775de376799ade88.jpg,waterloggingt-13-_jpg,train,False,3,1.55,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.55, 2 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-13-_jpg.rf.ea9f0605d797178c13c7e0f097d25b34.jpg,waterloggingt-13-_jpg,train,False,4,0.309,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (4 tall vertical boxes, mean AR 0.31); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-131-_jpg.rf.3dccd359864294689b2b3712af187782.jpg,waterloggingt-131-_jpg,train,False,3,2.303,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 2.30, 1 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-14-_jpg.rf.61a44bc7accbf3267e0553ca8d5918c2.jpg,waterloggingt-14-_jpg,train,False,5,0.376,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (4 tall vertical boxes, mean AR 0.38); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-14-_jpg.rf.ed32c615be56d69ea5d72b6bb14291fc.jpg,waterloggingt-14-_jpg,train,False,3,0.435,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (2 tall vertical boxes, mean AR 0.43); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-14-_jpg.rf.fc4f85a9cfcb85e9014fe91f7ab045b0.jpg,waterloggingt-14-_jpg,train,False,7,2.187,Natural (0°),KEEP,"Upright natural orientation (6 wide boxes, mean AR 2.19); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-10-_jpg.rf.6907c533b135a400dc53b46585bb1ed4.jpg,waterloggingt-10-_jpg,val,True,2,3.523,Natural (0°),KEEP,"Verified single-scene upright roadway capture; upright horizon, vehicles, and signage."
waterlogging_waterloggingt-102-_jpg.rf.1a8bd735d4844c6f6494c70d16f69d38.jpg,waterloggingt-102-_jpg,val,False,3,1.125,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.12, 0 tall vs 0 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-102-_jpg.rf.3301021e42eb5a35c62cf11b8447dc39.jpg,waterloggingt-102-_jpg,val,False,6,1.484,Natural (0°),KEEP,"Upright natural orientation (2 wide boxes, mean AR 1.48); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-102-_jpg.rf.95cf776cada9a363d357dddcdc8e5ecc.jpg,waterloggingt-102-_jpg,val,False,2,1.21,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.21, 1 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-117-_jpg.rf.4d269534a563d3d63c13b9242f291121.jpg,waterloggingt-117-_jpg,val,False,8,0.62,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (5 tall vertical boxes, mean AR 0.62); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-117-_jpg.rf.708bc840f8b74b7e44d18b76dcbb25e9.jpg,waterloggingt-117-_jpg,val,False,6,1.223,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.22, 3 tall vs 2 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-117-_jpg.rf.bacd46a5411b62ef597c217f5d0c9007.jpg,waterloggingt-117-_jpg,val,False,6,0.543,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (4 tall vertical boxes, mean AR 0.54); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-119-_jpg.rf.451f6988a8554b99b4d51bffddfe97df.jpg,waterloggingt-119-_jpg,val,False,5,0.446,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (4 tall vertical boxes, mean AR 0.45); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-119-_jpg.rf.af2d38b799d2d210df7b22efe0df8bdd.jpg,waterloggingt-119-_jpg,val,False,5,1.045,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.04, 1 tall vs 2 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-119-_jpg.rf.d93db3522f1c92d5f1cc5ad0b5515f88.jpg,waterloggingt-119-_jpg,val,False,6,1.818,Natural (0°),KEEP,"Upright natural orientation (4 wide boxes, mean AR 1.82); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-122-_jpg.rf.2e00e51a0e70223ad6d729e0a3257b4c.jpg,waterloggingt-122-_jpg,val,False,5,2.61,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 2.61, 0 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-122-_jpg.rf.718008e2ed5779778140c857b6d56dd5.jpg,waterloggingt-122-_jpg,val,False,6,0.585,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (4 tall vertical boxes, mean AR 0.59); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-122-_jpg.rf.71bd024023549294cfcccc67d88e177a.jpg,waterloggingt-122-_jpg,val,False,4,0.332,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (4 tall vertical boxes, mean AR 0.33); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-128-_jpg.rf.5f4420da5b81992ba7693869e96d14ee.jpg,waterloggingt-128-_jpg,val,False,0,1.0,Natural (0°),KEEP,Clean background negative sample showing wet asphalt sheen without standing water; upright perspective.
waterlogging_waterloggingt-128-_jpg.rf.da43c075e1a93e1a7d1948b6f9febdee.jpg,waterloggingt-128-_jpg,val,False,4,1.402,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.40, 0 tall vs 1 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-128-_jpg.rf.f8f9cf478e0a5f06653380a47f78144c.jpg,waterloggingt-128-_jpg,val,False,3,0.495,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (2 tall vertical boxes, mean AR 0.49); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-130-_jpg.rf.a7a7dbb9557fe20dff73f25cdbbcf8a3.jpg,waterloggingt-130-_jpg,val,False,3,0.53,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (2 tall vertical boxes, mean AR 0.53); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-130-_jpg.rf.bf6b00d8d05de67c449d034c3bc794c6.jpg,waterloggingt-130-_jpg,val,False,3,1.873,Natural (0°),KEEP,"Upright natural orientation (2 wide boxes, mean AR 1.87); horizontal water pooling conforms to planar road gravity."
